date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:07	116/116	---M-Z	200	added ('OK')	text/plain	date:Tue,%2029%20Jun%202021%2008:45:06%20GMT	https://miraclestudio.design/robots.txt		(from )
11:45:08	65013/65013	---MCZ	200	added ('OK')	text/html	etag:W/%225f527d51-fdf5%22	https://miraclestudio.design/html/deliciousa-html/reservation-v1.html	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/reservation-v1.html	(from )
11:45:08	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225f527d5e-47e%22	https://miraclestudio.design/html/deliciousa-html/assets/images/favicon.ico	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/favicon.ico	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:45:08	5330/5330	---M--	200	added ('OK')	image/png	etag:%225f527d5e-14d2%22	https://miraclestudio.design/html/deliciousa-html/assets/images/android-icon-72x72.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/android-icon-72x72.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:45:09	13358/13358	---M--	200	added ('OK')	image/png	etag:%225f527d5e-342e%22	https://miraclestudio.design/html/deliciousa-html/assets/images/apple-icon-144x144.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/apple-icon-144x144.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:45:10	155759/155759	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d58-2606f%22	https://miraclestudio.design/html/deliciousa-html/assets/css/bootstrap.min.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/bootstrap.min.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:45:32	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d5a-b78%22	https://miraclestudio.design/html/deliciousa-html/assets/css/owl.carousel.min.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/owl.carousel.min.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:45:53	2799/2799	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d5a-aef%22	https://miraclestudio.design/html/deliciousa-html/assets/css/pagepilling.min.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/pagepilling.min.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:01	2347/2347	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d5b-92b%22	https://miraclestudio.design/html/deliciousa-html/assets/css/simple-scrollbar.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/simple-scrollbar.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:01	3509/3509	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d58-db5%22	https://miraclestudio.design/html/deliciousa-html/assets/css/datepicker.min.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/datepicker.min.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:02	56842/56842	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d59-de0a%22	https://miraclestudio.design/html/deliciousa-html/assets/css/fontawesome.all.min.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/fontawesome.all.min.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:02	40790/40790	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d59-9f56%22	https://miraclestudio.design/html/deliciousa-html/assets/css/icomoon.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/icomoon.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:04	724119/724119	---MCZ	200	added ('OK')	text/css	etag:W/%225f527d5c-b0c97%22	https://miraclestudio.design/html/deliciousa-html/assets/css/style.css	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/css/style.css	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:04	14721/14721	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f527d66-3981%22	https://miraclestudio.design/html/deliciousa-html/assets/js/modernizr.min.js	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/js/modernizr.min.js	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:05	49773/49773	---MCZ	200	added ('OK')	text/html	etag:W/%225f527d49-c26d%22	https://miraclestudio.design/html/deliciousa-html/index02.html	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/index02.html	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:05	5437/5437	---M--	200	added ('OK')	image/png	etag:%225f527ddc-153d%22	https://miraclestudio.design/html/deliciousa-html/assets/images/logo/logo.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/logo/logo.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:06	3069/3069	---M--	200	added ('OK')	image/png	etag:%225f527e5f-bfd%22	https://miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/1.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/1.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:06	2935/2935	---M--	200	added ('OK')	image/png	etag:%225f527e5f-b77%22	https://miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/2.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/2.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:06	3049/3049	---M--	200	added ('OK')	image/png	etag:%225f527e5f-be9%22	https://miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/3.png	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/assets/images/foodmenu/small/3.png	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
11:46:07	73893/73893	---MCZ	200	added ('OK')	text/html	etag:W/%225f527d3d-120a5%22	https://miraclestudio.design/html/deliciousa-html/cart.html	C:/Users/HP/Desktop/website/silsil/miraclestudio.design/html/deliciousa-html/cart.html	(from https://miraclestudio.design/html/deliciousa-html/reservation-v1.html)
